Highest Deletion Frequencies,Deletion Lengths,Highest MH Deletion Frequencies,Highest MHless Deletion Frequencies
19.898542315063917,2.0,19.898542315063917,4.551528898735735
12.73971378348048,14.0,12.73971378348048,2.904869256055535
36.84613673988782,4.0,36.84613673988782,2.609275777717378
59.31254514808572,5.0,59.31254514808572,2.393851834015571
15.492253873063468,2.0,15.492253873063468,1.107719521534197
23.78716744913928,3.0,23.78716744913928,1.9564364107191101
25.923848488847828,8.0,25.923848488847828,3.2334697109674018
19.62496458285037,12.0,19.62496458285037,1.4347165340133428
37.1679297965696,11.0,37.1679297965696,12.102114080574392
14.52852827032583,9.0,14.52852827032583,11.567638127322965
31.356329600660253,9.0,31.356329600660253,3.398795790895279
18.848518284993695,1.0,18.848518284993695,4.4037673392181595
33.54630990591035,1.0,33.54630990591035,10.469848316685166
49.59692985444059,3.0,49.59692985444059,2.888480141699026
13.672903478796705,8.0,13.672903478796705,1.9554226653968967
7.647142341617516,2.0,7.647142341617516,7.395126510763915
9.236874564273073,1.0,7.938006113583955,9.236874564273073
20.018703717841056,3.0,20.018703717841056,4.52992594854569
14.387276043949829,3.0,14.387276043949829,3.512238924162507
12.39916579965195,3.0,12.39916579965195,4.874100132035066
56.442709034603475,18.0,4.981823077958799,56.442709034603475
21.705940612561434,1.0,21.705940612561434,4.388186048249958
12.07618282642611,18.0,12.07618282642611,4.630902547150868
34.97636857578802,8.0,34.97636857578802,2.3631424211975736
16.455543093400188,9.0,16.455543093400188,0.9819445360779397
21.410352588147035,13.0,21.410352588147035,3.1957989497374344
19.06742428680218,3.0,19.06742428680218,3.83105852029758
19.88962757374298,10.0,19.88962757374298,4.069579810236881
27.668541410064257,6.0,27.668541410064257,2.4025405493641205
45.70799068446025,3.0,45.70799068446025,3.3454770348752936
15.038024939887043,1.0,15.038024939887043,9.918637812447576
21.953717200372143,4.0,21.953717200372143,2.117609121472195
34.41905127712695,6.0,34.41905127712695,7.359323986940656
12.321999271815203,10.0,12.321999271815203,4.219426352198714
19.970121040275618,8.0,19.970121040275618,2.139546937406628
52.750244008242056,8.0,52.750244008242056,1.6955861620214725
8.599874033434258,10.0,8.599874033434258,2.838800737587361
38.61943860989116,2.0,38.61943860989116,6.339507351537139
38.02063735563981,10.0,38.02063735563981,4.002286607427132
29.485179407176286,22.0,29.485179407176286,7.644305772230889
59.3968170935356,6.0,59.3968170935356,1.967688067118685
43.46499258871741,4.0,43.46499258871741,12.411383193491485
12.968497910892317,3.0,12.968497910892317,8.170789724072312
37.0566957935379,4.0,37.0566957935379,2.5181873602926235
14.606674612634087,10.0,14.606674612634087,1.73368917448308
19.619955323901713,2.0,19.619955323901713,3.107073715562174
14.340531466074873,16.0,14.340531466074873,4.826565872541369
25.382164210157466,2.0,20.97632552944526,25.382164210157466
18.482477124978036,1.0,18.482477124978036,4.3073970455067645
14.229236610084403,2.0,14.229236610084403,9.745536694800915
21.95548984514824,6.0,21.95548984514824,4.093066687417322
14.062244062244062,9.0,14.062244062244062,1.6093366093366095
16.35533416355334,4.0,16.35533416355334,5.464231354642314
13.770696657294595,18.0,13.770696657294595,3.05321253774862
60.25138874409877,4.0,60.25138874409877,4.726942380151012
17.3468954927594,4.0,17.3468954927594,3.1473485073423992
39.13676294768943,5.0,39.13676294768943,2.825619877670542
17.810481806319476,8.0,17.810481806319476,5.4960936854797415
